;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
6453;Gastropoda Donaldospira;905;6;7;12;Gastropoda;NA;336;19;Donaldospira
6454;Gastropoda Dorsanum;8923;6;4;12;Gastropoda;Neotaenioglossa;40.4;46;Dorsanum
6455;Gastropoda Drepanocheilus;12257;62;10;185;Gastropoda;NA;112;39;Drepanocheilus
6456;Gastropoda Drepanochilus;2729;5;7;11;Gastropoda;NA;112;39;Drepanochilus
6457;Gastropoda Drilluta;3526;97;2;99;Gastropoda;Neotaenioglossa;83.5;42;Drilluta
6458;Gastropoda Drupa;14324;10;6;11;Gastropoda;Ptenoglossa;65.5;44;Drupa
6459;Gastropoda Drupella;8222;12;1;12;Gastropoda;Ptenoglossa;1.81;49;Drupella
6460;Gastropoda Duplicaria;4667;7;3;10;Gastropoda;Neogastropoda;33.9;47;Duplicaria
6461;Gastropoda Dutrochus;3;2;1;2;Gastropoda;Euomphalina;391.9;14;Dutrochus
6462;Gastropoda Dzikella;0;1;8;2;Gastropoda;NA;140.2;36;Dzikella
6463;Gastropoda Eatoniella;0;8;1;8;Gastropoda;NA;1.81;49;Eatoniella
6464;Gastropoda Ebala;979;8;22;19;Gastropoda;NA;228;28;Ebala
6465;Gastropoda Ecculiomphalus;19628;24;10;71;Gastropoda;Euomphalina;490;5;Ecculiomphalus
6466;Gastropoda Eccyliopterus;16353;10;3;15;Gastropoda;Euomphalina;479;6;Eccyliopterus
6467;Gastropoda Echinimathilda;0;1;3;2;Gastropoda;Neotaenioglossa;99.6;40;Echinimathilda
6468;Gastropoda Echinobathra;0;1;2;2;Gastropoda;Neotaenioglossa;125;38;Echinobathra
6469;Gastropoda Echinophoria;19776;33;4;60;Gastropoda;NA;40.4;46;Echinophoria
6470;Gastropoda Ecphora;6170;41;8;84;Gastropoda;Neogastropoda;83.5;42;Ecphora
6471;Gastropoda Ectinochilus;15193;19;3;39;Gastropoda;NA;65.5;44;Ectinochilus
6472;Gastropoda Ectomaria;18599;26;14;42;Gastropoda;Murchisoniina;479;6;Ectomaria
6473;Gastropoda Editharus;0;1;2;2;Gastropoda;Neotaenioglossa;37.2;46;Editharus
6474;Gastropoda Egestas;61;2;1;2;Gastropoda;Neogastropoda;19;48;Egestas
6475;Gastropoda Eirlysia;1425;3;5;4;Gastropoda;Murchisoniina;318.1;20;Eirlysia
6476;Gastropoda Elachorbis;849;5;2;6;Gastropoda;Neotaenioglossa;19;48;Elachorbis
6477;Gastropoda Elaeocyma;14538;5;1;5;Gastropoda;Neogastropoda;5.33;49;Elaeocyma
6478;Gastropoda Elasmonema;3708;4;2;5;Gastropoda;Euomphalina;409.1;13;Elasmonema
6479;Gastropoda Elatioriella;101;2;1;2;Gastropoda;Heterostrophia;161.2;34;Elatioriella
